Country/Region,Confirmed,Deaths,Recovered/Active,New cases,New deaths,New recovered,Deaths / 100 Cases,Recovered / 100 Cases,Deaths / 100 Recovered
Afghanistan,208982,7896,201086,11,0,11,3.78,96.22,3.93
Albania,334255,3596,330659,21,0,21,1.08,98.92,1.09
Algeria,271409,6881,264528,0,0,0,2.54,97.46,2.6
Andorra,47860,165,47695,0,0,0,0.34,99.66,0.35
Angola,105184,1931,103253,0,0,0,1.84,98.16,1.87
Antarctica,11,0,11,0,0,0,0.0,100.0,0.0
Antigua and Barbuda,9106,146,8960,0,0,0,1.6,98.4,1.63
Argentina,10040329,130437,9909892,0,0,0,1.3,98.7,1.32
Armenia,446332,8719,437613,0,0,0,1.95,98.05,1.99
Australia,11330342,19070,11311272,0,0,0,0.17,99.83,0.17
Austria,5829303,21788,5807515,7777,7,7770,0.37,99.63,0.38
Azerbaijan,828229,10098,818131,19,0,19,1.22,98.78,1.23
Bahamas,37491,833,36658,0,0,0,2.22,97.78,2.27
Bahrain,700835,1544,699291,0,0,0,0.22,99.78,0.22
Bangladesh,2037679,29444,2008235,15,0,15,1.44,98.56,1.47
Barbados,106434,573,105861,0,0,0,0.54,99.46,0.54
Belarus,994037,7118,986919,0,0,0,0.72,99.28,0.72
Belgium,4700949,33616,4667333,0,0,0,0.72,99.28,0.72
Belize,70697,688,70009,0,0,0,0.97,99.03,0.98
Benin,27990,163,27827,0,0,0,0.58,99.42,0.59
Bhutan,62608,21,62587,0,0,0,0.03,99.97,0.03
Bolivia,1191090,22355,1168735,390,1,389,1.88,98.12,1.91
Bosnia and Herzegovina,401472,16261,385211,0,0,0,4.05,95.95,4.22
Botswana,329494,2801,326693,0,0,0,0.85,99.15,0.86
Brazil,36932830,697674,36235156,2491,12,2479,1.89,98.11,1.93
Brunei,276825,225,276600,0,0,0,0.08,99.92,0.08
Bulgaria,1295870,38194,1257676,41,0,41,2.95,97.05,3.04
Burkina Faso,22025,396,21629,0,0,0,1.8,98.2,1.83
Burma,633866,19490,614376,2,0,2,3.07,96.93,3.17
Burundi,53574,38,53536,0,0,0,0.07,99.93,0.07
Cabo Verde,63235,413,62822,0,0,0,0.65,99.35,0.66
Cambodia,138704,3056,135648,1,0,1,2.2,97.8,2.25
Cameroon,123993,1965,122028,0,0,0,1.58,98.42,1.61
Canada,4580032,50918,4529114,414,0,414,1.11,98.89,1.12
Central African Republic,15368,113,15255,0,0,0,0.74,99.26,0.74
Chad,7652,194,7458,0,0,0,2.54,97.46,2.6
Chile,5138732,63998,5074734,1427,13,1414,1.25,98.75,1.26
China,4903517,100922,4802595,0,0,0,2.06,97.94,2.1
Colombia,6355637,142276,6213361,0,0,0,2.24,97.76,2.29
Comoros,8992,161,8831,0,0,0,1.79,98.21,1.82
Congo (Brazzaville),32818,743,32075,0,0,0,2.26,97.74,2.32
Congo (Kinshasa),95585,1463,94122,0,0,0,1.53,98.47,1.55
Costa Rica,1190377,9181,1181196,0,0,0,0.77,99.23,0.78
Cote d'Ivoire,88063,834,87229,17,0,17,0.95,99.05,0.96
Croatia,1268224,17923,1250301,39,2,37,1.41,98.59,1.43
Cuba,1112516,8530,1103986,9,0,9,0.77,99.23,0.77
Cyprus,645515,1293,644222,0,0,0,0.2,99.8,0.2
Czechia,4595326,42348,4552978,135,2,133,0.92,99.08,0.93
Denmark,3435885,8219,3427666,0,0,0,0.24,99.76,0.24
Djibouti,15690,189,15501,0,0,0,1.2,98.8,1.22
Dominica,15760,74,15686,0,0,0,0.47,99.53,0.47
Dominican Republic,660412,4384,656028,0,0,0,0.66,99.34,0.67
Ecuador,1052007,35965,1016042,0,0,0,3.42,96.58,3.54
Egypt,515666,24807,490859,0,0,0,4.81,95.19,5.05
El Salvador,201785,4230,197555,0,0,0,2.1,97.9,2.14
Equatorial Guinea,17212,183,17029,0,0,0,1.06,98.94,1.07
Eritrea,10189,103,10086,0,0,0,1.01,98.99,1.02
Estonia,614215,2919,611296,0,0,0,0.48,99.52,0.48
Eswatini,74158,1423,72735,15,0,15,1.92,98.08,1.96
Ethiopia,499765,7572,492193,16,0,16,1.52,98.48,1.54
Fiji,68864,883,67981,0,0,0,1.28,98.72,1.3
Finland,1460857,8821,1452036,0,0,0,0.6,99.4,0.61
France,39764042,165578,39598464,0,0,0,0.42,99.58,0.42
Gabon,48981,306,48675,0,0,0,0.62,99.38,0.63
Gambia,12586,372,12214,0,0,0,2.96,97.04,3.05
Georgia,1818861,16941,1801920,0,0,0,0.93,99.07,0.94
Germany,37907312,166763,37740549,0,0,0,0.44,99.56,0.44
Ghana,171152,1462,169690,12,0,12,0.85,99.15,0.86
Greece,5548487,34779,5513708,0,0,0,0.63,99.37,0.63
Greenland,11971,21,11950,0,0,0,0.18,99.82,0.18
Grenada,19680,238,19442,0,0,0,1.21,98.79,1.22
Guatemala,1231970,20149,1211821,463,7,456,1.64,98.36,1.66
Guinea,38240,467,37773,0,0,0,1.22,98.78,1.24
Guinea-Bissau,8947,176,8771,0,0,0,1.97,98.03,2.01
Guyana,73032,1297,71735,0,0,0,1.78,98.22,1.81
Haiti,34076,860,33216,0,0,0,2.52,97.48,2.59
Holy See,29,0,29,0,0,0,0.0,100.0,0.0
Honduras,471224,11107,460117,0,0,0,2.36,97.64,2.41
Hungary,2193272,48707,2144565,0,0,0,2.22,97.78,2.27
Iceland,208839,211,208628,0,0,0,0.1,99.9,0.1
India,44685425,530753,44154672,206,3,203,1.19,98.81,1.2
Indonesia,6732799,160864,6571935,181,4,177,2.39,97.61,2.45
Iran,7565552,144781,7420771,185,2,183,1.91,98.09,1.95
Iraq,2465545,25375,2440170,0,0,0,1.03,98.97,1.04
Ireland,1701617,8602,1693015,0,0,0,0.51,99.49,0.51
Israel,4791163,12236,4778927,398,7,391,0.26,99.74,0.26
Italy,25519067,187551,25331516,0,0,0,0.73,99.27,0.74
Jamaica,153905,3488,150417,0,0,0,2.27,97.73,2.32
Japan,32971493,70703,32900790,13740,137,13603,0.21,99.79,0.21
Jordan,1746997,14122,1732875,0,0,0,0.81,99.19,0.81
Kazakhstan,1496549,19066,1477483,0,0,0,1.27,98.73,1.29
Kenya,342817,5688,337129,0,0,0,1.66,98.34,1.69
Kiribati,5008,18,4990,0,0,0,0.36,99.64,0.36
Kosovo,272710,3204,269506,8,0,8,1.17,98.83,1.19
Kuwait,662858,2570,660288,0,0,0,0.39,99.61,0.39
Kyrgyzstan,206599,2991,203608,0,0,0,1.45,98.55,1.47
Laos,217999,758,217241,1,0,1,0.35,99.65,0.35
Latvia,975590,6245,969345,0,0,0,0.64,99.36,0.64
Lebanon,1230141,10803,1219338,226,2,224,0.88,99.12,0.89
Lesotho,34790,723,34067,0,0,0,2.08,97.92,2.12
Liberia,8065,294,7771,0,0,0,3.65,96.35,3.78
Libya,507166,6437,500729,0,0,0,1.27,98.73,1.29
Liechtenstein,21372,89,21283,0,0,0,0.42,99.58,0.42
Lithuania,1299971,9555,1290416,49,0,49,0.74,99.26,0.74
Luxembourg,315352,1212,314140,0,0,0,0.38,99.62,0.39
Madagascar,67849,1421,66428,7,1,6,2.09,97.91,2.14
Malawi,88559,2686,85873,0,0,0,3.03,96.97,3.13
Malaysia,5039486,36951,5002535,160,0,160,0.73,99.27,0.74
Maldives,185721,311,185410,0,0,0,0.17,99.83,0.17
Mali,32833,743,32090,7,0,7,2.26,97.74,2.32
Malta,117166,826,116340,0,0,0,0.7,99.3,0.71
Marshall Islands,15590,17,15573,0,0,0,0.11,99.89,0.11
Mauritania,63667,997,62670,0,0,0,1.57,98.43,1.59
Mauritius,294915,1044,293871,0,0,0,0.35,99.65,0.36
Mexico,7400848,332580,7068268,0,0,0,4.49,95.51,4.71
Micronesia,23671,60,23611,0,0,0,0.25,99.75,0.25
Moldova,599578,11957,587621,0,0,0,1.99,98.01,2.03
Monaco,16095,67,16028,0,0,0,0.42,99.58,0.42
Mongolia,1007888,2136,1005752,0,0,0,0.21,99.79,0.21
Montenegro,286867,2799,284068,71,0,71,0.98,99.02,0.99
Morocco,1272335,16296,1256039,7,0,7,1.28,98.72,1.3
Mozambique,232819,2237,230582,0,0,0,0.96,99.04,0.97
Namibia,170741,4088,166653,0,0,0,2.39,97.61,2.45
Nauru,4815,1,4814,0,0,0,0.02,99.98,0.02
Nepal,1001115,12020,989095,2,0,2,1.2,98.8,1.22
Netherlands,8699058,23705,8675353,0,0,0,0.27,99.73,0.27
New Zealand,2207346,2515,2204831,8364,11,8353,0.11,99.89,0.11
Nicaragua,15612,245,15367,0,0,0,1.57,98.43,1.59
Niger,9508,315,9193,0,0,0,3.31,96.69,3.43
Nigeria,266463,3155,263308,0,0,0,1.18,98.82,1.2
North Korea,1,6,-5,0,0,0,600.0,-500.0,-120.0
North Macedonia,346533,9641,336892,0,0,0,2.78,97.22,2.86
Norway,1478328,5152,1473176,41,0,41,0.35,99.65,0.35
Oman,399449,4628,394821,0,0,0,1.16,98.84,1.17
Pakistan,1576538,30640,1545898,74,0,74,1.94,98.06,1.98
Palau,5987,9,5978,0,0,0,0.15,99.85,0.15
Panama,1030214,8599,1021615,0,0,0,0.83,99.17,0.84
Papua New Guinea,46776,670,46106,0,0,0,1.43,98.57,1.45
Paraguay,806790,19843,786947,0,0,0,2.46,97.54,2.52
Peru,4483729,219269,4264460,286,19,267,4.89,95.11,5.14
Philippines,4074691,65949,4008742,128,11,117,1.62,98.38,1.65
Poland,6389741,118779,6270962,169,0,169,1.86,98.14,1.89
Portugal,5565479,26059,5539420,0,0,0,0.47,99.53,0.47
Qatar,492966,686,492280,41,0,41,0.14,99.86,0.14
Romania,3327805,67619,3260186,0,0,0,2.03,97.97,2.07
Russia,21762542,387590,21374952,12231,30,12201,1.78,98.22,1.81
Rwanda,133090,1468,131622,0,0,0,1.1,98.9,1.12
Saint Kitts and Nevis,6593,46,6547,0,0,0,0.7,99.3,0.7
Saint Lucia,29882,409,29473,0,0,0,1.37,98.63,1.39
Saint Vincent and the Grenadines,9587,123,9464,0,0,0,1.28,98.72,1.3
Samoa,16109,29,16080,0,0,0,0.18,99.82,0.18
San Marino,23468,122,23346,0,0,0,0.52,99.48,0.52
Sao Tome and Principe,6280,77,6203,0,0,0,1.23,98.77,1.24
Saudi Arabia,828525,9592,818933,39,1,38,1.16,98.84,1.17
Senegal,88902,1971,86931,0,0,0,2.22,97.78,2.27
Serbia,2479663,17739,2461924,933,6,927,0.72,99.28,0.72
Seychelles,50665,172,50493,0,0,0,0.34,99.66,0.34
Sierra Leone,7760,126,7634,0,0,0,1.62,98.38,1.65
Singapore,2222006,1722,2220284,244,0,244,0.08,99.92,0.08
Slovakia,2662318,20980,2641338,61,3,58,0.79,99.21,0.79
Slovenia,1323752,7064,1316688,65,0,65,0.53,99.47,0.54
Solomon Islands,24575,153,24422,0,0,0,0.62,99.38,0.63
Somalia,27322,1361,25961,0,0,0,4.98,95.02,5.24
South Africa,4057211,102595,3954616,0,0,0,2.53,97.47,2.59
South Korea,30355373,33747,30321626,5174,11,5163,0.11,99.89,0.11
South Sudan,18368,138,18230,0,0,0,0.75,99.25,0.76
Spain,13748918,118976,13629942,0,0,0,0.87,99.13,0.87
Sri Lanka,672009,16829,655180,2,1,1,2.5,97.5,2.57
Sudan,63759,5008,58751,0,0,0,7.85,92.15,8.52
Suriname,82227,1400,80827,0,0,0,1.7,98.3,1.73
Sweden,2696168,23563,2672605,0,0,0,0.87,99.13,0.88
Switzerland,4408833,14211,4394622,0,0,0,0.32,99.68,0.32
Syria,57453,3164,54289,0,0,0,5.51,94.49,5.83
Taiwan*,9809098,17103,9791995,17190,57,17133,0.17,99.83,0.17
Tajikistan,17786,125,17661,0,0,0,0.7,99.3,0.71
Tanzania,42717,846,41871,0,0,0,1.98,98.02,2.02
Thailand,4727628,33894,4693734,392,12,380,0.72,99.28,0.72
Timor-Leste,23416,138,23278,0,0,0,0.59,99.41,0.59
Togo,39362,290,39072,4,0,4,0.74,99.26,0.74
Tonga,16795,13,16782,0,0,0,0.08,99.92,0.08
Trinidad and Tobago,188199,4331,183868,0,0,0,2.3,97.7,2.36
Tunisia,1150477,29312,1121165,0,0,0,2.55,97.45,2.61
Turkey,17042722,101492,16941230,0,0,0,0.6,99.4,0.6
Tuvalu,2805,0,2805,0,0,0,0.0,100.0,0.0
US,102849008,1114377,101734631,2469,6,2463,1.08,98.92,1.1
Uganda,170400,3630,166770,0,0,0,2.13,97.87,2.18
Ukraine,5686987,119092,5567895,116,1,115,2.09,97.91,2.14
United Arab Emirates,1050402,2348,1048054,72,0,72,0.22,99.78,0.22
United Kingdom,24549097,218476,24330621,0,0,0,0.89,99.11,0.9
Uruguay,1033265,7614,1025651,0,0,0,0.74,99.26,0.74
Uzbekistan,250743,1637,249106,0,0,0,0.65,99.35,0.66
Vanuatu,12014,14,12000,0,0,0,0.12,99.88,0.12
Venezuela,551720,5851,545869,47,0,47,1.06,98.94,1.07
Vietnam,11526692,43186,11483506,41,0,41,0.37,99.63,0.38
West Bank and Gaza,703228,5708,697520,0,0,0,0.81,99.19,0.82
Yemen,11945,2159,9786,0,0,0,18.07,81.93,22.06
Zambia,342288,4051,338237,0,0,0,1.18,98.82,1.2
Zimbabwe,263083,5659,257424,0,0,0,2.15,97.85,2.2
